structure,DFT-mod_SPE,DFT-mod_ForceRMS,DFT-mod_ForceMax,DFT-mod_G,DFT-mod_EHOMO,DFT-mod_ELUMO,DFT-mod_Gap,DFT-mod_charge_1,DFT-mod_charge_2,DFT-mod_charge_7,DFT-mod_charge_12,DFT-mod_charge_13,DFT-mod_charge_14,DFT-mod_charge_77,DFT-mod-gau-sp_SPE,DFT-mod-gau-sp_ForceRMS,DFT-mod-gau-sp_ForceMax,DFT-mod-gau-sp_G,DFT-mod-gau-sp_EHOMO,DFT-mod-gau-sp_ELUMO,DFT-mod-gau-sp_Gap,DFT-mod-gau-sp_charge_1,DFT-mod-gau-sp_charge_2,DFT-mod-gau-sp_charge_7,DFT-mod-gau-sp_charge_12,DFT-mod-gau-sp_charge_13,DFT-mod-gau-sp_charge_14,DFT-mod-gau-sp_charge_77,gauxtb-mod_SPE,gauxtb-mod_ForceRMS,gauxtb-mod_ForceMax,gauxtb-mod_G,gauxtb-mod_EHOMO,gauxtb-mod_ELUMO,gauxtb-mod_Gap,gauxtb-mod_charge_1,gauxtb-mod_charge_2,gauxtb-mod_charge_7,gauxtb-mod_charge_12,gauxtb-mod_charge_13,gauxtb-mod_charge_14,gauxtb-mod_charge_77,gauxtb-mod-gau-sp_SPE,gauxtb-mod-gau-sp_ForceRMS,gauxtb-mod-gau-sp_ForceMax,gauxtb-mod-gau-sp_G,gauxtb-mod-gau-sp_EHOMO,gauxtb-mod-gau-sp_ELUMO,gauxtb-mod-gau-sp_Gap,gauxtb-mod-gau-sp_charge_1,gauxtb-mod-gau-sp_charge_2,gauxtb-mod-gau-sp_charge_7,gauxtb-mod-gau-sp_charge_12,gauxtb-mod-gau-sp_charge_13,gauxtb-mod-gau-sp_charge_14,gauxtb-mod-gau-sp_charge_77,xtb-fixmod-gau-sp_SPE,xtb-fixmod-gau-sp_ForceRMS,xtb-fixmod-gau-sp_ForceMax,xtb-fixmod-gau-sp_G,xtb-fixmod-gau-sp_EHOMO,xtb-fixmod-gau-sp_ELUMO,xtb-fixmod-gau-sp_Gap,xtb-fixmod-gau-sp_charge_1,xtb-fixmod-gau-sp_charge_2,xtb-fixmod-gau-sp_charge_7,xtb-fixmod-gau-sp_charge_12,xtb-fixmod-gau-sp_charge_13,xtb-fixmod-gau-sp_charge_14,xtb-fixmod-gau-sp_charge_77,xtb-mod-gau-sp_SPE,xtb-mod-gau-sp_ForceRMS,xtb-mod-gau-sp_ForceMax,xtb-mod-gau-sp_G,xtb-mod-gau-sp_EHOMO,xtb-mod-gau-sp_ELUMO,xtb-mod-gau-sp_Gap,xtb-mod-gau-sp_charge_1,xtb-mod-gau-sp_charge_2,xtb-mod-gau-sp_charge_7,xtb-mod-gau-sp_charge_12,xtb-mod-gau-sp_charge_13,xtb-mod-gau-sp_charge_14,xtb-mod-gau-sp_charge_77,xtb-mod_SPE,xtb-mod_Grad,xtb-mod_Gap,xtb-mod_ELUMO,xtb-mod_EHOMO,xtb-mod_charge_1,xtb-mod_charge_2,xtb-mod_charge_7,xtb-mod_charge_12,xtb-mod_charge_13,xtb-mod_charge_14,xtb-mod_charge_77,xtb-fixmod_SPE,xtb-fixmod_Grad,xtb-fixmod_Gap,xtb-fixmod_ELUMO,xtb-fixmod_EHOMO,xtb-fixmod_charge_1,xtb-fixmod_charge_2,xtb-fixmod_charge_7,xtb-fixmod_charge_12,xtb-fixmod_charge_13,xtb-fixmod_charge_14,xtb-fixmod_charge_77,xtb-mod-xtb-sp_SPE,xtb-mod-xtb-sp_Grad,xtb-mod-xtb-sp_Gap,xtb-mod-xtb-sp_ELUMO,xtb-mod-xtb-sp_EHOMO,xtb-mod-xtb-sp_charge_1,xtb-mod-xtb-sp_charge_2,xtb-mod-xtb-sp_charge_7,xtb-mod-xtb-sp_charge_12,xtb-mod-xtb-sp_charge_13,xtb-mod-xtb-sp_charge_14,xtb-mod-xtb-sp_charge_77,xtb-fixmod-xtb-sp_SPE,xtb-fixmod-xtb-sp_Grad,xtb-fixmod-xtb-sp_Gap,xtb-fixmod-xtb-sp_ELUMO,xtb-fixmod-xtb-sp_EHOMO,xtb-fixmod-xtb-sp_charge_1,xtb-fixmod-xtb-sp_charge_2,xtb-fixmod-xtb-sp_charge_7,xtb-fixmod-xtb-sp_charge_12,xtb-fixmod-xtb-sp_charge_13,xtb-fixmod-xtb-sp_charge_14,xtb-fixmod-xtb-sp_charge_77
Xu16-7a-2a-major,-2937.870891,0.000001,0.000011,0.000000,-0.189184,-0.026905,-0.162280,-0.323164,0.686565,0.243312,-0.558208,0.029527,-0.558139,0.086618,-2937.870891,0.000218,0.002279,0.000000,-0.189185,-0.026905,-0.162280,-0.323164,0.686566,0.243312,-0.558208,0.029527,-0.558139,0.086618,-157.651185,0.000001,0.000006,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2937.845819,0.005411,0.040993,0.000000,-0.188134,-0.029396,-0.158739,-0.296901,0.592303,0.190443,-0.556042,0.014944,-0.550284,0.083754,-2937.849740,0.005298,0.043143,0.000000,-0.188820,-0.031011,-0.157810,-0.243289,0.590011,0.217568,-0.563125,0.019982,-0.559895,0.084495,-2937.845766,0.005400,0.042918,0.000000,-0.187047,-0.029779,-0.157268,-0.296427,0.586980,0.197203,-0.557388,0.016143,-0.550110,0.083808,-157.651130,0.000548,2.142056,-6.6612,-8.8033,-0.472630,0.089822,0.120950,-0.413059,0.074005,-0.072598,0.002993,-157.647424,0.000484,2.167717,-6.6876,-8.8553,-0.452804,0.095903,0.117961,-0.414754,0.072178,-0.074849,0.002743,-157.651175,0.017453,2.142043,-6.6612,-8.8033,-0.472630,0.089825,0.120949,-0.413063,0.074003,-0.072591,0.002992,-157.647424,0.020743,2.167706,-6.6876,-8.8553,-0.452803,0.095905,0.117961,-0.414758,0.072178,-0.074844,0.002739
Xu16-7a-2a-minor,-2937.866556,0.000001,0.000008,0.000000,-0.188050,-0.029212,-0.158838,-0.249217,0.665640,0.246017,-0.561465,0.035636,-0.574609,0.097412,-2937.866556,0.000264,0.003330,0.000000,-0.188050,-0.029212,-0.158838,-0.249216,0.665639,0.246017,-0.561463,0.035636,-0.574609,0.097411,-157.645514,0.000001,0.000008,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2937.842726,0.005085,0.037221,0.000000,-0.190897,-0.035015,-0.155882,-0.322916,0.664769,0.202430,-0.551213,0.030320,-0.563360,0.100406,-2937.843248,0.005061,0.038037,0.000000,-0.188500,-0.030776,-0.157725,-0.332059,0.634577,0.221540,-0.547540,0.026512,-0.563006,0.085386,-2937.842309,0.005088,0.037774,0.000000,-0.190772,-0.035149,-0.155623,-0.321925,0.661055,0.199214,-0.550118,0.030702,-0.563338,0.100675,-157.645556,0.000758,2.182632,-6.6989,-8.8815,-0.439699,0.102656,0.133975,-0.408121,0.081329,-0.072689,0.006308,-157.642412,0.000746,2.079281,-6.7455,-8.8247,-0.423900,0.108421,0.111190,-0.414395,0.080458,-0.073951,0.005315,-157.645631,0.022815,2.182553,-6.6989,-8.8815,-0.439699,0.102653,0.133978,-0.408122,0.081348,-0.072699,0.006302,-157.642412,0.019675,2.079303,-6.7454,-8.8247,-0.423900,0.108426,0.111189,-0.414401,0.080458,-0.073944,0.005315
Xu17-7a-2a-major,-2937.875191,0.000001,0.000010,0.000000,-0.189772,-0.027455,-0.162317,-0.309903,0.692113,0.247115,-0.569886,0.027949,-0.558075,-0.234267,-2937.875191,0.000221,0.001946,0.000000,-0.189772,-0.027455,-0.162317,-0.309903,0.692114,0.247115,-0.569886,0.027949,-0.558075,-0.234266,-157.655604,0.000001,0.000012,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2937.849248,0.005431,0.039795,0.000000,-0.188962,-0.028604,-0.160358,-0.306064,0.606670,0.173137,-0.555453,0.015394,-0.547786,-0.242558,-2937.853652,0.005265,0.043118,0.000000,-0.188823,-0.031213,-0.157610,-0.247147,0.592794,0.218499,-0.562694,0.019148,-0.559912,-0.241233,-2937.849812,0.005370,0.043152,0.000000,-0.187180,-0.029479,-0.157700,-0.298525,0.592302,0.190525,-0.557393,0.016775,-0.549296,-0.242093,-157.655192,0.000684,2.181004,-6.6434,-8.8244,-0.472737,0.090210,0.120876,-0.413400,0.074221,-0.072618,-0.044991,-157.651094,0.000454,2.195446,-6.6809,-8.8763,-0.454081,0.096743,0.117634,-0.415182,0.071738,-0.074431,-0.045211,-157.655235,0.017225,2.180955,-6.6434,-8.8244,-0.472743,0.090203,0.120877,-0.413400,0.074234,-0.072626,-0.044985,-157.651094,0.020904,2.195436,-6.6809,-8.8763,-0.454080,0.096746,0.117634,-0.415183,0.071738,-0.074428,-0.045215
Xu17-7a-2a-minor,-2937.870502,0.000002,0.000013,0.000000,-0.188271,-0.029236,-0.159035,-0.272674,0.666845,0.251866,-0.561216,0.031688,-0.572428,-0.232481,-2937.870502,0.000228,0.002570,0.000000,-0.188271,-0.029236,-0.159035,-0.272673,0.666845,0.251866,-0.561217,0.031687,-0.572427,-0.232481,-157.648799,0.000002,0.000016,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2937.845396,0.005008,0.037370,0.000000,-0.189179,-0.033272,-0.155908,-0.305623,0.600028,0.226146,-0.547823,0.026889,-0.558933,-0.231513,-2937.848315,0.004998,0.037487,0.000000,-0.188553,-0.030666,-0.157887,-0.330899,0.633363,0.220399,-0.547217,0.026583,-0.562871,-0.239149,-2937.848186,0.005006,0.036476,0.000000,-0.188765,-0.031789,-0.156976,-0.321909,0.638160,0.219942,-0.546645,0.026478,-0.564083,-0.237337,-157.647950,0.000687,2.131073,-6.7268,-8.8579,-0.426682,0.106946,0.115062,-0.412441,0.080154,-0.074221,-0.043479,-157.647583,0.000579,2.090437,-6.7415,-8.8319,-0.424662,0.108825,0.109737,-0.414759,0.080310,-0.074265,-0.043658,-157.648006,0.019276,2.131077,-6.7267,-8.8578,-0.426683,0.106950,0.115062,-0.412444,0.080155,-0.074220,-0.043479,-157.647583,0.019621,2.090456,-6.7414,-8.8319,-0.424662,0.108830,0.109736,-0.414766,0.080311,-0.074257,-0.043659
Xu18-7a-2a-major,-2977.142318,0.000001,0.000011,0.000000,-0.189571,-0.027422,-0.162149,-0.356625,0.672541,0.239891,-0.555300,0.030307,-0.554960,-0.512922,-2977.142318,0.000247,0.002615,0.000000,-0.189571,-0.027422,-0.162149,-0.356625,0.672541,0.239891,-0.555301,0.030307,-0.554960,-0.512922,-160.823877,0.000005,0.000056,0.000000,6.000000,6.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2977.116285,0.005334,0.040194,0.000000,-0.188736,-0.027607,-0.161130,-0.348350,0.607552,0.188262,-0.564006,0.011551,-0.534593,-0.519162,-2977.117884,0.005178,0.043976,0.000000,-0.188850,-0.032756,-0.156094,-0.235674,0.604950,0.227904,-0.572365,0.020300,-0.564651,-0.519330,-2977.116388,0.005328,0.040164,0.000000,-0.188416,-0.027520,-0.160895,-0.345645,0.606083,0.187992,-0.564191,0.012385,-0.535089,-0.519098,-160.823877,0.000962,2.234015,-6.5803,-8.8143,-0.460135,0.085529,0.112256,-0.414605,0.079796,-0.074222,-0.277593,-160.813717,0.000548,2.234894,-6.7018,-8.9366,-0.442274,0.105932,0.101808,-0.415917,0.071833,-0.074596,-0.278370,-160.823928,0.019604,2.233977,-6.5803,-8.8143,-0.460137,0.085521,0.112260,-0.414607,0.079807,-0.074229,-0.277592,-160.813717,0.022026,2.234892,-6.7017,-8.9366,-0.442274,0.105934,0.101808,-0.415921,0.071832,-0.074591,-0.278371
Xu18-7a-2a-minor,-2977.139660,0.000004,0.000032,0.000000,-0.188550,-0.030449,-0.158101,-0.260293,0.638849,0.241924,-0.558460,0.032974,-0.578669,-0.512148,-2977.139660,0.000317,0.003512,0.000000,-0.188550,-0.030449,-0.158101,-0.260293,0.638848,0.241924,-0.558460,0.032974,-0.578669,-0.512148,-160.818752,0.000000,0.000003,0.000000,6.000000,6.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2977.114854,0.004879,0.032931,0.000000,-0.191681,-0.034447,-0.157235,-0.341278,0.642749,0.217785,-0.553975,0.028515,-0.556566,-0.518787,-2977.108988,0.005020,0.035309,0.000000,-0.192172,-0.035221,-0.156951,-0.273193,0.611657,0.214548,-0.566511,0.025066,-0.565249,-0.519063,-2977.115432,0.004894,0.033276,0.000000,-0.191921,-0.034815,-0.157106,-0.343181,0.644738,0.222033,-0.552813,0.030398,-0.560494,-0.518698,-160.818727,0.000491,2.190210,-6.7095,-8.8997,-0.449376,0.103415,0.121618,-0.415235,0.079663,-0.073307,-0.277092,-160.809001,0.000823,2.118393,-6.7162,-8.8346,-0.421832,0.104906,0.112880,-0.419944,0.080578,-0.069342,-0.277584,-160.818806,0.023483,2.190205,-6.7095,-8.8997,-0.449370,0.103421,0.121619,-0.415243,0.079666,-0.073301,-0.277094,-160.809001,0.035301,2.118401,-6.7162,-8.8346,-0.421831,0.104911,0.112880,-0.419953,0.080583,-0.069333,-0.277586
Xu19-7a-2a-major,-3624.605222,0.000002,0.000014,0.000000,-0.188791,-0.035978,-0.152813,-0.213146,0.615082,0.247457,-0.568287,0.023673,-0.560970,0.187240,-3624.605222,0.000096,0.001121,0.000000,-0.188791,-0.035978,-0.152813,-0.213146,0.615082,0.247457,-0.568287,0.023673,-0.560969,0.187240,-199.720387,0.000001,0.000005,0.000000,1.000000,6.000000,-5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3624.583398,0.005175,0.046658,0.000000,-0.188497,-0.033469,-0.155027,-0.330103,0.602010,0.231856,-0.550199,0.018410,-0.550495,0.188460,-3624.581276,0.005223,0.049715,0.000000,-0.188594,-0.037247,-0.151347,-0.342718,0.600368,0.248149,-0.556118,0.016321,-0.557098,0.186573,-3624.583421,0.005175,0.047067,0.000000,-0.188354,-0.033659,-0.154695,-0.330286,0.599593,0.232670,-0.550381,0.018864,-0.550443,0.188196,-199.720378,0.000569,1.620236,-7.3895,-9.0097,-0.463672,0.108632,0.110914,-0.413411,0.075147,-0.072446,0.040201,-199.715870,0.000700,1.655607,-7.4272,-9.0828,-0.463122,0.117623,0.109544,-0.424427,0.070051,-0.070304,0.040473,-199.720416,0.015993,1.620142,-7.3896,-9.0097,-0.463680,0.108624,0.110915,-0.413409,0.075158,-0.072451,0.040200,-199.715870,0.023061,1.655577,-7.4273,-9.0828,-0.463115,0.117618,0.109544,-0.424425,0.070054,-0.070307,0.040472
Xu19-7a-2a-minor,-3624.602427,0.000002,0.000014,0.000000,-0.189593,-0.040294,-0.149299,-0.265949,0.650282,0.258920,-0.559328,0.030017,-0.570446,0.186677,-3624.602427,0.000167,0.001791,0.000000,-0.189593,-0.040294,-0.149299,-0.265950,0.650282,0.258920,-0.559328,0.030017,-0.570446,0.186676,-199.714456,0.000002,0.000015,0.000000,1.000000,6.000000,-5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3624.580161,0.004810,0.037060,0.000000,-0.189646,-0.038446,-0.151200,-0.322732,0.612393,0.213286,-0.540936,0.024568,-0.567950,0.191091,-3624.579873,0.004852,0.038851,0.000000,-0.190826,-0.037521,-0.153304,-0.310666,0.630501,0.225112,-0.548142,0.027294,-0.563081,0.186845,-3624.580210,0.004824,0.037164,0.000000,-0.189586,-0.038015,-0.151572,-0.316667,0.611457,0.213336,-0.541612,0.025657,-0.568375,0.190406,-199.714293,0.000557,1.541427,-7.5061,-9.0475,-0.437210,0.119351,0.102492,-0.414754,0.077711,-0.072645,0.028747,-199.711743,0.000646,1.501958,-7.5223,-9.0242,-0.419578,0.124948,0.104072,-0.415878,0.080835,-0.075785,0.029114,-199.714337,0.017148,1.541447,-7.5061,-9.0475,-0.437218,0.119358,0.102495,-0.414757,0.077709,-0.072638,0.028748,-199.711743,0.021743,1.501832,-7.5224,-9.0242,-0.419583,0.124954,0.104072,-0.415878,0.080850,-0.075797,0.029113
Xu20-7a-2a-major,-3202.526759,0.000001,0.000009,0.000000,-0.187164,-0.027078,-0.160086,-0.196477,0.607734,0.249232,-0.581424,0.026516,-0.563243,0.341833,-3202.526759,0.000098,0.001005,0.000000,-0.187165,-0.027078,-0.160086,-0.196478,0.607735,0.249232,-0.581424,0.026515,-0.563243,0.341834,-173.006058,0.000002,0.000021,0.000000,1.000000,6.000000,-5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3202.504560,0.005493,0.047382,0.000000,-0.185840,-0.028844,-0.156996,-0.308212,0.590545,0.221434,-0.561915,0.016567,-0.551590,0.345937,-3202.508319,0.005389,0.047689,0.000000,-0.188381,-0.030656,-0.157725,-0.256970,0.600517,0.234064,-0.569157,0.020875,-0.563436,0.345792,-3202.504801,0.005493,0.048059,0.000000,-0.185753,-0.028705,-0.157047,-0.311030,0.590909,0.221842,-0.562538,0.017808,-0.551590,0.345867,-173.006043,0.000628,2.092181,-6.6740,-8.7662,-0.471809,0.096452,0.122924,-0.415937,0.073962,-0.072513,0.118163,-173.002064,0.000842,2.128156,-6.7122,-8.8404,-0.452808,0.104129,0.122228,-0.417251,0.072685,-0.074345,0.118260,-173.006088,0.017724,2.092144,-6.6740,-8.7662,-0.471812,0.096448,0.122927,-0.415937,0.073974,-0.072522,0.118170,-173.002064,0.021050,2.128132,-6.7122,-8.8404,-0.452807,0.104129,0.122231,-0.417254,0.072700,-0.074353,0.118266
Xu20-7a-2a-minor,-3202.525064,0.000003,0.000029,0.000000,-0.186957,-0.026223,-0.160734,-0.283012,0.670092,0.256641,-0.562494,0.033097,-0.571455,0.350418,-3202.525064,0.000278,0.003331,0.000000,-0.186957,-0.026223,-0.160734,-0.283012,0.670092,0.256641,-0.562493,0.033097,-0.571456,0.350418,-172.998786,0.000003,0.000024,0.000000,1.000000,6.000000,-5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3202.502925,0.005173,0.038793,0.000000,-0.188266,-0.029136,-0.159130,-0.354547,0.638319,0.219607,-0.544196,0.025948,-0.563184,0.353331,-3202.503083,0.005196,0.039346,0.000000,-0.188327,-0.029455,-0.158873,-0.349640,0.643373,0.222232,-0.544640,0.027304,-0.562043,0.352582,-3202.503177,0.005182,0.038694,0.000000,-0.188243,-0.029202,-0.159041,-0.355971,0.640383,0.220830,-0.544119,0.026284,-0.563683,0.352847,-172.998782,0.000537,2.053997,-6.7617,-8.8157,-0.428981,0.110620,0.114384,-0.413887,0.081154,-0.073954,0.118177,-172.998618,0.000309,2.050428,-6.7607,-8.8111,-0.426754,0.111165,0.113890,-0.413264,0.080980,-0.075009,0.118262,-172.998830,0.017927,2.053916,-6.7618,-8.8157,-0.428983,0.110624,0.114387,-0.413887,0.081165,-0.073962,0.118182,-172.998618,0.018758,2.050343,-6.7608,-8.8111,-0.426756,0.111168,0.113893,-0.413264,0.080991,-0.075014,0.118267
Xu21-7a-2a-major,-3172.300554,0.000001,0.000005,0.000000,-0.187609,-0.026961,-0.160649,-0.209078,0.610645,0.241999,-0.566719,0.023350,-0.562075,-0.239923,-3172.300554,0.000101,0.001425,0.000000,-0.187609,-0.026961,-0.160649,-0.209078,0.610646,0.241999,-0.566719,0.023350,-0.562075,-0.239923,-175.648085,0.000003,0.000027,0.000000,1.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3172.279217,0.005189,0.045156,0.000000,-0.186164,-0.028408,-0.157757,-0.325615,0.597730,0.221463,-0.551305,0.015727,-0.549968,-0.245649,-3172.281174,0.005145,0.047099,0.000000,-0.188727,-0.031514,-0.157214,-0.299682,0.599663,0.239406,-0.557569,0.015023,-0.557656,-0.244534,-3172.279294,0.005201,0.046265,0.000000,-0.186180,-0.028706,-0.157474,-0.327382,0.597868,0.220857,-0.552682,0.016620,-0.550027,-0.244241,-175.647962,0.000721,2.194579,-6.6348,-8.8293,-0.470456,0.096470,0.114076,-0.418087,0.074276,-0.072717,-0.041066,-175.643097,0.000488,2.217818,-6.6834,-8.9012,-0.456719,0.103937,0.112343,-0.423842,0.070484,-0.072870,-0.041198,-175.647998,0.015399,2.194541,-6.6348,-8.8293,-0.470459,0.096462,0.114075,-0.418084,0.074287,-0.072721,-0.041063,-175.643097,0.018788,2.217798,-6.6834,-8.9012,-0.456720,0.103933,0.112343,-0.423843,0.070494,-0.072875,-0.041197
Xu21-7a-2a-minor,-3172.297601,0.000002,0.000026,0.000000,-0.187434,-0.028450,-0.158984,-0.263178,0.636477,0.248194,-0.555608,0.029264,-0.567548,-0.239500,-3172.297601,0.000093,0.000980,0.000000,-0.187434,-0.028450,-0.158984,-0.263180,0.636477,0.248194,-0.555608,0.029264,-0.567549,-0.239500,-175.644995,0.000003,0.000025,0.000000,1.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3172.273330,0.004851,0.037074,0.000000,-0.188219,-0.035089,-0.153129,-0.316376,0.592147,0.208042,-0.544041,0.025954,-0.564027,-0.236720,-3172.274919,0.004872,0.038734,0.000000,-0.188014,-0.030075,-0.157939,-0.316675,0.628292,0.220776,-0.548806,0.027584,-0.564496,-0.242349,-3172.276958,0.004832,0.036046,0.000000,-0.187902,-0.030877,-0.157025,-0.321769,0.611926,0.211788,-0.541803,0.025588,-0.568388,-0.241757,-175.642271,0.000352,2.135033,-6.6989,-8.8339,-0.440451,0.108012,0.099844,-0.415260,0.076992,-0.072566,-0.040784,-175.639292,0.000968,2.120165,-6.6975,-8.8176,-0.423821,0.115450,0.095669,-0.416295,0.080528,-0.075363,-0.040963,-175.642314,0.016836,2.135042,-6.6989,-8.8339,-0.440450,0.108017,0.099844,-0.415264,0.076988,-0.072559,-0.040785,-175.639292,0.021101,2.120169,-6.6974,-8.8176,-0.423821,0.115455,0.095669,-0.416297,0.080528,-0.075358,-0.040963
Xu22-7a-2a-major,-3397.093145,0.000002,0.000025,0.000000,-0.187806,-0.027893,-0.159913,-0.193191,0.606284,0.244022,-0.580391,0.025793,-0.563051,-0.245987,-3397.093145,0.000058,0.000568,0.000000,-0.187806,-0.027893,-0.159913,-0.193190,0.606284,0.244023,-0.580390,0.025792,-0.563051,-0.245986,-185.425238,0.000002,0.000012,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3397.070865,0.005097,0.046034,0.000000,-0.186933,-0.029453,-0.157480,-0.303478,0.593058,0.211118,-0.562508,0.015223,-0.552001,-0.249769,-3397.074477,0.004988,0.046634,0.000000,-0.189136,-0.031231,-0.157906,-0.262842,0.600927,0.226475,-0.568590,0.019978,-0.561444,-0.249543,-3397.070883,0.005105,0.046562,0.000000,-0.187168,-0.029597,-0.157571,-0.305638,0.594430,0.209734,-0.563311,0.016265,-0.551961,-0.250180,-185.425178,0.000370,2.156682,-6.6908,-8.8474,-0.473119,0.094469,0.121212,-0.419242,0.073850,-0.072117,-0.040723,-185.421407,0.000774,2.188382,-6.7197,-8.9081,-0.454482,0.100848,0.118452,-0.421395,0.072234,-0.073850,-0.040812,-185.425222,0.016957,2.156676,-6.6907,-8.8474,-0.473128,0.094461,0.121212,-0.419245,0.073855,-0.072117,-0.040713,-185.421407,0.020787,2.188381,-6.7197,-8.9081,-0.454484,0.100844,0.118451,-0.421397,0.072245,-0.073853,-0.040803
Xu22-7a-2a-minor,-3397.088879,0.000001,0.000010,0.000000,-0.187719,-0.028249,-0.159470,-0.282071,0.653799,0.254859,-0.559618,0.028466,-0.568537,-0.241270,-3397.088879,0.000096,0.001154,0.000000,-0.187719,-0.028249,-0.159470,-0.282069,0.653799,0.254859,-0.559620,0.028466,-0.568538,-0.241270,-185.416838,0.000002,0.000014,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3397.067508,0.004791,0.037860,0.000000,-0.188355,-0.030508,-0.157846,-0.337359,0.630237,0.218024,-0.544182,0.025560,-0.564751,-0.243757,-3397.067114,0.004802,0.039016,0.000000,-0.188511,-0.030137,-0.158374,-0.334318,0.637897,0.218419,-0.546350,0.027084,-0.563581,-0.245429,-3397.067842,0.004791,0.037574,0.000000,-0.188413,-0.030342,-0.158071,-0.340505,0.632472,0.218006,-0.544001,0.026062,-0.564756,-0.244102,-185.416868,0.000454,2.116159,-6.7422,-8.8583,-0.432200,0.106665,0.108090,-0.414208,0.079598,-0.073586,-0.040249,-185.415949,0.000336,2.114359,-6.7437,-8.8581,-0.426717,0.110752,0.107393,-0.414653,0.080657,-0.074487,-0.040559,-185.416919,0.018348,2.116109,-6.7422,-8.8583,-0.432196,0.106668,0.108090,-0.414209,0.079600,-0.073586,-0.040248,-185.415949,0.019796,2.114322,-6.7437,-8.8580,-0.426716,0.110756,0.107393,-0.414655,0.080660,-0.074486,-0.040558
Xu23-7a-2a-major,-3480.816463,0.000002,0.000022,0.000000,-0.187874,-0.024463,-0.163412,-0.248240,0.628919,0.240775,-0.568466,0.023349,-0.559683,0.132116,-3480.816463,0.000084,0.000972,0.000000,-0.187874,-0.024463,-0.163412,-0.248241,0.628918,0.240775,-0.568467,0.023350,-0.559682,0.132116,-197.432839,0.000002,0.000013,0.000000,1.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3480.792155,0.005159,0.043514,0.000000,-0.185305,-0.025076,-0.160229,-0.357006,0.624567,0.233949,-0.550460,0.018592,-0.549544,0.139340,-3480.794624,0.005090,0.047511,0.000000,-0.187885,-0.030790,-0.157095,-0.335056,0.629626,0.256856,-0.558412,0.014728,-0.558564,0.120782,-3480.793447,0.005136,0.046467,0.000000,-0.183915,-0.025730,-0.158185,-0.364729,0.622264,0.235429,-0.551035,0.019119,-0.548557,0.140167,-197.432783,0.000985,2.136114,-6.5615,-8.6976,-0.474730,0.115900,0.113638,-0.416867,0.074509,-0.073653,-0.015896,-197.424794,0.000639,2.175851,-6.6455,-8.8214,-0.459385,0.132134,0.112880,-0.424968,0.069262,-0.073045,-0.015678,-197.432818,0.015232,2.136049,-6.5616,-8.6976,-0.474741,0.115893,0.113641,-0.416861,0.074521,-0.073663,-0.015903,-197.424794,0.020219,2.175828,-6.6455,-8.8214,-0.459388,0.132134,0.112881,-0.424965,0.069272,-0.073053,-0.015687
